كود الصنف;اسم الصنف;المجموعة;السعر;النقاط 
DP-F404002;قاطع رئيسى بالعلبة 100 امبير MCCB وتربروف;قاطع بعلبة;186.35;50
DP-F404003;قاطع رئيسى بالعلبة 150 امبير MCCB وتربروف;قاطع بعلبة;318.35;80
DP-F404004;قاطع رئيسى بالعلبة 200 امبير MCCB وتربروف;قاطع بعلبة;330;80
DP-F404005;قاطع رئيسى بالعلبة 250 امبير MCCB وتربروف;قاطع بعلبة;605.6;160
DP-F501001;لوحة متعددة المخارج 100 امبير MCCB;قاطع بعلبة;582.25;150
DP-F501002;لوحة متعددة المخارج 150 امبير MCCB;قاطع بعلبة;854;200
DP-F501003;لوحة متعددة المخارج 200 امبير MCCB;قاطع بعلبة;854;200
DP-F501004;لوحة متعددة المخارج 250 امبير MCCB;قاطع بعلبة;1553;300
DP-F501005;لوحة متعددة المخارج 300 امبير MCCB;قاطع بعلبة;1941.25;300
DP-F501006;لوحة متعددة المخارج 400 امبير MCCB;قاطع بعلبة;1941.25;300
DP-F501007;لوحة متعددة المخارج 350 امبير MCCB;قاطع بعلبة;2135.25;300
DP-F601001;علبة قاطع بلاستيك بدون;علب WPF;10;2
DP-F602001;لوحة اوروبي وجه بلاستيك 6 خط 2 فاز بدون رئيسي وفرعي;قاطع بعلبة;115.25;30
DP-F602002;لوحة اوروبي وجه بلاستيك 8 خط 2 فاز بدون رئيسي وفرعي;قاطع بعلبة;123.75;30
DP-F602003;لوحة اوروبي وجه بلاستيك 10 خط 2 فاز بدون رئيسي وفرعي;قاطع بعلبة;179.25;40
DP-F602004;لوحة اوروبي وجه بلاستيك 12 خط 2 فاز بدون رئيسي وفرعي;قاطع بعلبة;179.25;40
DP-F603001;لوحة اوروبي وجه بلاستيك 8 خط 2 فاز مع رئيسي 100 امبير;قاطع بعلبة;179.25;40
DP-R107001;مفتاح 20 امبير 2 فاز ISOLATOR;قاطع بعلبة;12;3
DP-R202001;قاطع فرعي 100 امبير 3 فاز ابيض MCB - لوحة 9 خط;لوحات AME;88;20
DP-R202003;مجموعة قاطع رئيسي 3فاز 100 امبير MCB - سعودي;قاطع بعلبة;83;20
DP-R202006;مجموعة قاطع رئيسي 100 امبير MCCB / 6 LUG - سعودي;قاطع بعلبة;147.5;30
DP-R202007;مجموعة قاطع رئيسي 150 امبير MCCB / 6 LUG - سعودي;قاطع بعلبة;221.25;50
DP-R202008;مجموعة قاطع رئيسي 200 امبير MCCB / 6 LUG - سعودي;قاطع بعلبة;271.75;70
DP-R202009;مجموعة قاطع رئيسي 250 امبير MCCB / 6 LUG - سعودي;قاطع بعلبة;310.5;80
DP-R202011;مجموعة قاطع رئيسي 200 امبير MCCB / 3LUG - سعودي;قاطع بعلبة;140.5;30
DP-R202014;مجموعة قاطع رئيسي 3فاز 63 امبير MCB - سعودي;قاطع بعلبة;116.5;30
DP-R202016;قاطع رئيسي 60 امبير 2 فاز;قاطع بعلبة;80;20
DP-R202017;قاطع رئيسي 60امبير 3 فاز  ابيض MCB;قاطع بعلبة;116.5;30
DP-R202018;قاطع رئيسي 100 امبير 2 فاز;قاطع بعلبة;80;20
DP-R202019;قاطع رئيسي 100امبير 3فاز ابيض;قاطع بعلبة;135.75;30
DP-R202020;قاطع رئيسي 100 امبير 2 فاز ISOLATOR;قاطع بعلبة;50.5;10
DP-R202021;قاطع رئيسي 100 امبير 3 فاز ابيض - للوحة 9 خط;قاطع بعلبة;61.25;15
DP-R202024;قاطع رئيسي 100 امبير 3 فاز ابيض MCCB;قاطع بعلبة;121;30
DP-R202025;قاطع رئيسي 200 امبير 3 فاز ابيض MCCB;قاطع بعلبة;219;50
DP-R202026;قاطع رئيسي 200 امبير 3 فاز ابيض MCCB - 3 LUG;قاطع بعلبة;219;50
DP-R202029;قاطع رئيسي 60 امبير 3 فاز ابيض MCCB;قاطع بعلبة;83;20
DP-R202031;قاطع رئيسي 100امبير 3 فاز  اسودMCB;قاطع بعلبة;135.9;30
DP-R302005;قاطع رئيسي 100امبير 2فاز اوربي;قاطع بعلبة;63.65;15
DP-R302007;مجموعة قاطع رئيسي 3 فاز100 امبير ISOLATOR اوروبي - KSA;قاطع بعلبة;81.5;20
RA-F1001001;وحدة انارة داون لايت مخفي  7 وات ابيض -  6500K;داون ALUM;8.25;2
RA-F1001002;وحدة انارة داون لايت مخفي  7 وات اصفر -  3000K;داون ALUM;8.25;2
RA-F1001003;وحدة انارة داون لايت مخفي  7 وات شمسي -  4000K;داون ALUM;8.25;2
RA-F1001004;وحدة انارة داون لايت مخفي 10 وات ابيض -  6500K;داون ALUM;11.6;3
RA-F1001005;وحدة انارة داون لايت مخفي 10 وات اصفر -  3000K;داون ALUM;11.6;3
RA-F1001006;وحدة انارة داون لايت مخفي 10 وات شمسي -  4000K;داون ALUM;11.6;3
RA-F1001007;وحدة انارة داون لايت مخفي 15 وات ابيض -  6500K;داون ALUM;14;3
RA-F1001008;وحدة انارة داون لايت مخفي 15 وات اصفر -  3000K;داون ALUM;14;3
RA-F1001009;وحدة انارة داون لايت مخفي 15 وات شمسي -  4000K;داون ALUM;14;3
RA-F1001010;وحدة انارة داون لايت مخفي 18 وات ابيض -  6500K;داون ALUM;15.75;4
RA-F1001012;وحدة انارة داون لايت مخفي 18 وات شمسي -  4000K;داون ALUM;15.75;4
RA-F1001013;وحدة انارة داون لايت مخفي 20 وات ابيض -  6500K;داون ALUM;20.75;5
RA-F1001014;وحدة انارة داون لايت مخفي 20 وات اصفر -  3000K;داون ALUM;29;7
RA-F1001015;وحدة انارة داون لايت مخفي 20 وات شمسي -  4000K;داون ALUM;29;7
